"medication","medication_definition_id","indications","rxcui","score","rank","nAtoms","name","synonym","tty","language","suppress","umlscui","ttypriority"
"Amoxicillin-Pot Clavulanate 200-28.5 MG Oral Tablet Chewable",101120,1,617309,91,1,19,"Amoxicillin 200 MG / Clavulanate 28.5 MG Chewable Tablet","","SCD","ENG","N","C0974329",1
"Amoxicillin-Pot Clavulanate 200-28.5 MG/5ML Oral Suspension Reconstituted",101124,1,617423,85,1,19,"Amoxicillin 40 MG/ML / Clavulanate 5.7 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 200 MG / clavulanic acid (as clavulanate potassium) 28.5 MG per 5 ML Oral Suspension","SCD","ENG","N","C0974330",1
"Amoxicillin-Pot Clavulanate 250-125 MG Oral Tablet",133150,1,562251,89,1,15,"Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet","amoxicillin (as amoxicillin trihydrate) 250 MG / clavulanic acid (as clavulanate potassium) 125 MG Oral Tablet","SCD","ENG","N","C1622318",1
"Amoxicillin-Pot Clavulanate 250-62.5 MG/5ML Oral Suspension Reconstituted",153459,8,617322,80,1,14,"Amoxicillin 50 MG/ML / Clavulanate 12.5 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 250 MG / clavulanic acid (as clavulanate potassium) 62.5 MG per 5 Oral Suspension","SCD","ENG","N","C0974333",1
"Amoxicillin-Pot Clavulanate 400-57 MG Oral Tablet Chewable",101121,3,617316,90,1,17,"Amoxicillin 400 MG / Clavulanate 57 MG Chewable Tablet","","SCD","ENG","N","C0974348",1
"Amoxicillin-Pot Clavulanate 400-57 MG/5ML Oral Suspension Reconstituted",101125,4,617430,83,1,5,"Amoxicillin 80 MG/ML / Clavulanate 11.4 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 400 MG / clavulanic acid (as clavulanate potassium) 57 MG per 5 ML Oral Suspension","SCD","ENG","N","C0981242",1
"Amoxicillin-Pot Clavulanate 500-125 MG Oral Tablet",101122,15,617296,89,1,11,"Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet","amoxicillin (as amoxicillin trihydrate) 500 MG / clavulanic acid (as clavulanate potassium) 125 MG Oral Tablet","SCD","ENG","N","C0974351",1
"Amoxicillin-Pot Clavulanate 600-42.9 MG/5ML Oral Suspension Reconstituted",129197,2,617993,80,1,20,"Amoxicillin 120 MG/ML / Clavulanate 8.58 MG/ML Oral Suspension","amoxicillin (as amoxicillin trihydrate) 600 MG / clavulanic acid (as clavulanate potassium) 42.9 MG per 5 ML Oral Suspension","SCD","ENG","N","C1168686",1
"Amoxicillin-Pot Clavulanate 875-125 MG Oral Tablet",101123,50,562508,89,1,12,"Amoxicillin 875 MG / Clavulanate 125 MG Oral Tablet","amoxicillin (as amoxicillin trihydrate) 875 MG / clavulanic acid (as clavulanate potassium) 125 MG Oral Tablet","SCD","ENG","N","C1622319",1
"Amphetamine-Dextroamphetamine 10 MG Oral Tablet",154456,4,541892,100,1,6,"Amphetamine aspartate 2.5 MG / Amphetamine Sulfate 2.5 MG / Dextroamphetamine saccharate 2.5 MG / Dextroamphetamine Sulfate 2.5 MG Oral Tablet","","SCD","ENG","N","C1623081",1
"Amphetamine-Dextroamphetamine 20 MG Oral Tablet",154435,6,577961,100,1,10,"Amphetamine aspartate 5 MG / Amphetamine Sulfate 5 MG / Dextroamphetamine saccharate 5 MG / Dextroamphetamine Sulfate 5 MG Oral Tablet","","SCD","ENG","N","C1384309",1
"Amphetamine-Dextroamphetamine 5 MG Oral Tablet",154404,2,541878,100,1,4,"Amphetamine aspartate 1.25 MG / Amphetamine Sulfate 1.25 MG / Dextroamphetamine saccharate 1.25 MG / Dextroamphetamine Sulfate 1.25 MG Oral Tablet","","SCD","ENG","N","C0974358",1
"Ampicillin 250 MG Oral Capsule",12659,1,313800,100,1,20,"Ampicillin 250 MG Oral Capsule","","SCD","ENG","N","C0981212",1
"Ampicillin 500 MG Oral Capsule",12725,2,308212,100,1,20,"Ampicillin 500 MG Oral Capsule","","SCD","ENG","N","C0974392",1
"Ampyra 10 MG Oral Tablet Extended Release 12 Hour",156017,1,897025,100,1,8,"12 HR dalfampridine 10 MG Extended Release Oral Tablet [Ampyra]","12 HR Ampyra 10 MG Extended Release Oral Tablet","SBD","ENG","N","C2732154",2
"Amrix 15 MG Oral Capsule Extended Release 24 Hour",138351,9,828359,100,1,11,"24 HR Cyclobenzaprine hydrochloride 15 MG Extended Release Oral Capsule [Amrix]","24 HR Amrix 15 MG Extended Release Oral Capsule","SBD","ENG","N","C1961961",2
"Amrix 30 MG Oral Capsule Extended Release 24 Hour",138261,1,828355,100,1,10,"24 HR Cyclobenzaprine hydrochloride 30 MG Extended Release Oral Capsule [Amrix]","24 HR Amrix 30 MG Extended Release Oral Capsule","SBD","ENG","N","C1961965",2
"Analpram-HC 1-2.5 % Rectal Lotion",113441,1,1360956,100,1,6,"hydrocortisone acetate 25 MG/ML / Pramoxine hydrochloride 10 MG/ML Topical Lotion [Analpram HC]","Analpram HC (hydrocortisone acetate 2.5 % / pramoxine hydrochloride 1 % ) Rectal Lotion","SBD","ENG","N","C0707517",2
"AnaMantle HC 3-0.5 % KIT",123017,1,1012569,40,1,5,"hydrocortisone acetate 10 MG/ML / Lidocaine Hydrochloride 30 MG/ML Rectal Cream [Anamantle HC]","Anamantle HC 3/1 (lidocaine hydrochloride / hydrocortisone acetate) Rectal Cream","SBD","ENG","N","C1615271",2
"Anastrozole 1 MG Oral Tablet",158468,3,199224,100,1,26,"anastrozole 1 MG Oral Tablet","","SCD","ENG","N","C0692594",1
"Androderm 2.5 MG/24HR Transdermal Patch 24 Hour",28136,1,261192,73,1,4,"24 HR Testosterone 0.104 MG/HR Transdermal Patch [Androderm]","Androderm 2.5 MG/Day 24 HR Transdermal Patch","SBD","ENG","N","C0875660",2
"Androderm 5 MG/24HR Transdermal Patch 24 Hour",29729,1,261193,70,1,9,"24 HR Testosterone 0.208 MG/HR Transdermal Patch [Androderm]","Androderm 5 MG/Day 24 HR Transdermal Patch","SBD","ENG","N","C0875661",2
"AndroGel 25 MG/2.5GM Transdermal Gel",113648,3,1597124,89,1,7,"2500 MG Testosterone 0.01 MG/MG Topical Gel [Androgel]","Androgel 1 % Transdermal Gel, 2.5 GM","SBD","ENG","N","",2
"AndroGel 50 MG/5GM Transdermal Gel",113668,3,1597130,88,1,5,"5000 MG Testosterone 0.01 MG/MG Topical Gel [Androgel]","Androgel 1 % Transdermal Gel, 5 GM","SBD","ENG","N","",2
"AndroGel Pump 1 % GEL",128220,4,1597075,50,1,1,"60 ACTUAT Testosterone 20.25 MG/ACTUAT Topical Gel [Androgel]","AndroGel 1.62 % (20.25 MG/ACTUAT) Transdermal Gel Pump, 60 ACTUAT","SBD","ENG","N","",2
"AndroGel Pump 1.25 GM/ACT (1%) Transdermal Gel",162007,2,1597121,70,1,8,"1250 MG Testosterone 0.0162 MG/MG Topical Gel [Androgel]","Androgel 1.62 % Transdermal Gel, 1.25 GM","SBD","ENG","N","",2
"Antara 130 MG Oral Capsule",123207,1,578797,100,1,8,"Fenofibrate 130 MG Oral Capsule [Antara]","Antara 130 MG Oral Capsule","SBD","ENG","N","C1652058",2
"Anti-Fungal 1 % External Cream",111909,1,309367,67,1,3,"Clotrimazole 10 MG/ML Topical Cream","clotrimazole 1 % Topical Cream","SCD","ENG","N","C0975746",1
"Antipyrine-Benzocaine 5.4-1.4 % Otic Solution",12819,6,244309,100,1,8,"Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution","antipyrine 5.4 % / benzocaine 1.4 % Otic Solution","SCD","ENG","N","C0784468",1
"Antipyrine-Benzocaine 54-14 MG/ML Otic Solution",98131,1,244309,89,1,7,"Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution","antipyrine 5.4 % / benzocaine 1.4 % Otic Solution","SCD","ENG","N","C0784468",1
"Anucort-HC 25 MG Rectal Suppository",12774,4,1291101,100,1,6,"hydrocortisone acetate 25 MG Rectal Suppository [Anucort-HC]","Anucort-HC 25 MG Rectal Suppository","SBD","ENG","N","C0709132",2
"Apidra 100 UNIT/ML Injection Solution",138392,2,803194,100,1,5,"Insulin, Glulisine, Human 100 UNT/ML Injectable Solution [Apidra]","Apidra 100 UNT/ML Injectable Solution","SBD","ENG","N","C2356251",2
"Apidra SoloStar 100 UNIT/ML Subcutaneous Solution",158975,2,847261,88,1,9,"3 ML Insulin, Glulisine, Human 100 UNT/ML Prefilled Syringe [Apidra]","Apidra 300 UNT per 3 ML OptiClik Pen","SBD","ENG","N","C2683609",2
"Apri 0.15-30 MG-MCG Oral Tablet",25314,2,753482,55,1,14,"{21 (Desogestrel 0.15 MG / Ethinyl Estradiol 0.03 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Apri 28 Day]","Apri 28 Day Pack","BPCK","ENG","N","C1373648",12
"AquADEKs Oral Liquid",135372,1,239166,50,1,1,"Glucose Oral Solution","","SCDF","ENG","N","C0776076",3
"Aranesp (Albumin Free) 25 MCG/ML Injection Solution",134754,1,352044,78,1,2,"darbepoetin alfa 0.025 MG/ML Injectable Solution [Aranesp]","Aranesp 0.025 MG/ML Injectable Solution","SBD","ENG","N","C1169657",2
"Arava 20 MG Oral Tablet",24659,1,213379,100,1,8,"leflunomide 20 MG Oral Tablet [Arava]","Arava 20 MG Oral Tablet","SBD","ENG","N","C0716413",2
"Aricept 10 MG Oral Tablet",29026,10,997224,100,1,8,"Donepezil hydrochloride 10 MG Oral Tablet [Aricept]","Aricept 10 MG Oral Tablet","SBD","ENG","N","C0594447",2
"Aricept 23 MG Oral Tablet",158818,6,1100187,100,1,7,"Donepezil hydrochloride 23 MG Oral Tablet [Aricept]","Aricept 23 MG Oral Tablet","SBD","ENG","N","C2920598",2
"Aricept 5 MG Oral Tablet",29025,9,997230,100,1,9,"Donepezil hydrochloride 5 MG Oral Tablet [Aricept]","Aricept 5 MG Oral Tablet","SBD","ENG","N","C0594445",2
"Arimidex 1 MG Oral Tablet",28354,1,151124,100,1,7,"anastrozole 1 MG Oral Tablet [Arimidex]","Arimidex 1 MG Oral Tablet","SBD","ENG","N","C0590643",2
"Armour Thyroid 120 MG Oral Tablet",12854,1,208544,100,1,8,"thyroid (USP) 120 MG Oral Tablet [Armour Thyroid]","Armour Thyroid 120 MG Oral Tablet","SBD","ENG","N","C0710134",2
"Armour Thyroid 30 MG Oral Tablet",12906,1,208535,100,1,10,"thyroid (USP) 30 MG Oral Tablet [Armour Thyroid]","Armour Thyroid 30 MG Oral Tablet","SBD","ENG","N","C0710122",2
"Armour Thyroid 60 MG Oral Tablet",12907,3,208540,100,1,10,"thyroid (USP) 60 MG Oral Tablet [Armour Thyroid]","Armour Thyroid 60 MG Oral Tablet","SBD","ENG","N","C0710128",2
"Aromasin 25 MG Oral Tablet",25722,1,261317,100,1,8,"exemestane 25 MG Oral Tablet [Aromasin]","Aromasin 25 MG Oral Tablet","SBD","ENG","N","C0875807",2
"Arthrotec 75-200 MG-MCG Oral Tablet",30101,1,1359109,100,1,11,"Diclofenac Sodium 75 MG / Misoprostol 0.2 MG Oral Tablet [Arthrotec]","Arthrotec (diclofenac sodium (enteric coated core) 75 MG / misoprostol (non-enteric coated mantle) 200 MCG) Oral Tablet","SBD","ENG","N","C1613644",2
"Asacol 400 MG Oral Tablet Delayed Release",12914,3,104112,100,1,14,"mesalamine 400 MG Delayed Release Oral Tablet [Asacol]","Asacol 400 MG Delayed Release Oral Tablet","SBD","ENG","N","C0353920",2
"Asacol HD 800 MG Oral Tablet Delayed Release",152383,1,849383,100,1,7,"mesalamine 800 MG Delayed Release Oral Tablet [Asacol]","Asacol HD 800 MG Delayed Release Oral Tablet","SBD","ENG","N","C2684457",2
"Asmanex 60 Metered Doses 220 MCG/INH Inhalation Aerosol Powder Breath Activated",130735,1,746815,69,1,4,"60 ACTUAT mometasone furoate 0.2 MG/ACTUAT Dry Powder Inhaler [Asmanex]","Asmanex 0.2 MG/ACTUAT Dry Powder Inhaler, 60 ACTUAT","SBD","ENG","N","C1966487",2
"Aspir-81 81 MG Oral Tablet Delayed Release",30055,4,308416,100,1,1,"Aspirin 81 MG Delayed Release Oral Tablet","ASA 81 MG Delayed Release Oral Tablet","SCD","ENG","N","C0974619",1
"Aspir-Low 81 MG Oral Tablet Delayed Release",12915,1,1293665,100,1,9,"Aspirin 81 MG Delayed Release Oral Tablet [Aspir-Low]","Aspir-Low 81 MG Delayed Release Oral Tablet","SBD","ENG","N","C3465049",2
"Aspirin 325 MG Oral Tablet",13067,8,212033,100,1,41,"Aspirin 325 MG Oral Tablet","ASA 325 MG Oral Tablet","SCD","ENG","N","C0714615",1
"Aspirin 81 MG Oral Tablet",19517,11,243670,100,1,18,"Aspirin 81 MG Oral Tablet","ASA 81 MG Oral Tablet","SCD","ENG","N","C0783425",1
"Aspirin 81 MG Oral Tablet Chewable",13066,2,318272,100,1,16,"Aspirin 81 MG Chewable Tablet","ASA 81 MG Chewable Tablet","SCD","ENG","N","C0995060",1
"Aspirin 81 MG Oral Tablet Delayed Release",100210,2,308416,100,1,11,"Aspirin 81 MG Delayed Release Oral Tablet","ASA 81 MG Delayed Release Oral Tablet","SCD","ENG","N","C0974619",1
"Aspirin Childrens 81 MG Oral Tablet Chewable",12927,2,318272,88,1,18,"Aspirin 81 MG Chewable Tablet","ASA 81 MG Chewable Tablet","SCD","ENG","N","C0995060",1
"Aspirin EC 81 MG Oral Tablet Delayed Release",21259,1,308416,100,1,10,"Aspirin 81 MG Delayed Release Oral Tablet","ASA 81 MG Delayed Release Oral Tablet","SCD","ENG","N","C0974619",1
"Aspirin EC Low Dose 81 MG Oral Tablet Delayed Release",99049,1,308416,85,1,10,"Aspirin 81 MG Delayed Release Oral Tablet","ASA 81 MG Delayed Release Oral Tablet","SCD","ENG","N","C0974619",1
"Astelin 137 MCG/SPRAY Nasal Solution",29075,1,860798,71,1,11,"200 ACTUAT Azelastine hydrochloride 0.137 MG/ACTUAT Nasal Inhaler [Astelin]","Astelin 0.1 % Nasal Spray, 200 ACTUAT","SBD","ENG","N","C0714106",2
"Astepro 0.15 % Nasal Solution",153753,3,862042,67,1,6,"200 ACTUAT Azelastine hydrochloride 0.206 MG/ACTUAT Nasal Inhaler [Astepro]","Astepro 0.15 % Nasal Spray, 200 ACTUAT","SBD","ENG","N","C2721810",2
"Atacand 16 MG Oral Tablet",30594,1,639539,100,1,9,"candesartan cilexetil 16 MG Oral Tablet [Atacand]","Atacand 16 MG Oral Tablet","SBD","ENG","N","C0716396",2
"Atacand 32 MG Oral Tablet",24693,3,639543,100,1,6,"candesartan cilexetil 32 MG Oral Tablet [Atacand]","Atacand 32 MG Oral Tablet","SBD","ENG","N","C0716397",2
"Atacand 8 MG Oral Tablet",30593,1,577787,100,1,7,"candesartan cilexetil 8 MG Oral Tablet [Atacand]","Atacand 8 MG Oral Tablet","SBD","ENG","N","C0716395",2
"Atacand HCT 32-12.5 MG Oral Tablet",98204,1,805859,89,1,10,"candesartan cilexetil 32 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT]","Atacand HCT 32/12.5 Oral Tablet","SBD","ENG","N","C0939042",2
"Atenolol 100 MG Oral Tablet",247,4,197379,100,1,44,"Atenolol 100 MG Oral Tablet","","SCD","ENG","N","C0687938",1
"Atenolol 25 MG Oral Tablet",13087,14,197380,100,1,55,"Atenolol 25 MG Oral Tablet","","SCD","ENG","N","C0687939",1
"Atenolol 50 MG Oral Tablet",250,10,197381,100,1,60,"Atenolol 50 MG Oral Tablet","","SCD","ENG","N","C0687940",1
"Atenolol-Chlorthalidone 100-25 MG Oral Tablet",19518,3,197382,88,1,18,"Atenolol 100 MG / Chlorthalidone 25 MG Oral Tablet","","SCD","ENG","N","C0687941",1
"Atenolol-Chlorthalidone 50-25 MG Oral Tablet",19519,3,197383,88,1,20,"Atenolol 50 MG / Chlorthalidone 25 MG Oral Tablet","","SCD","ENG","N","C0687942",1
"Ativan 0.5 MG Oral Tablet",13091,2,206821,100,1,10,"Lorazepam 0.5 MG Oral Tablet [Ativan]","Ativan 0.5 MG Oral Tablet","SBD","ENG","N","C0708005",2
"Ativan 1 MG Oral Tablet",253,1,104719,100,1,14,"Lorazepam 1 MG Oral Tablet [Ativan]","Ativan 1 MG Oral Tablet","SBD","ENG","N","C0355054",2
"Atripla 600-200-300 MG Oral Tablet",134181,3,643070,86,1,11,"efavirenz 600 MG / emtricitabine 200 MG / Tenofovir disoproxil fumarate 300 MG Oral Tablet [Atripla]","Atripla 600/200/300 Oral Tablet","SBD","ENG","N","C1724019",2
"Atropine Sulfate 1 % Ophthalmic Solution",12943,1,1190655,100,1,9,"Atropine Sulfate 10 MG/ML Ophthalmic Solution","atropine sulfate 1 % Ophthalmic Solution","SCD","ENG","N","C0981221",1
"Atrovent HFA 17 MCG/ACT Inhalation Aerosol Solution",122880,4,836368,55,1,6,"200 ACTUAT Ipratropium Bromide 0.017 MG/ACTUAT Metered Dose Inhaler [Atrovent]","Atrovent 0.017 MG/ACTUAT Metered Dose Inhaler, 200 ACTUAT","SBD","ENG","N","C1639201",2
"Augmentin 125-31.25 MG/5ML Oral Suspension Reconstituted",6549,1,617333,64,1,7,"Amoxicillin 25 MG/ML / Clavulanate 6.25 MG/ML Oral Suspension [Augmentin]","Augmentin (amoxicillin 125 MG / clavulanate 31.25 MG) per 5 ML Oral Suspension","SBD","ENG","N","C0706676",2
"Augmentin 500-125 MG Oral Tablet",274,1,824190,86,1,11,"Amoxicillin 500 MG / Clavulanate 125 MG Oral Tablet [Augmentin]","Augmentin 500-mg Oral Tablet","SBD","ENG","N","C0706690",2
"Auralgan",133924,1,18521,100,1,3,"Auralgan","","BN","ENG","N","C0052662",5
"Auralgan SOLN",137874,5,214040,67,1,7,"Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution [Auralgan]","Auralgan (antipyrine 5.4 % / benzocaine 1.4 % ) Otic Solution","SBD","ENG","N","C0717202",2
"Aurodex 1.4-5.4 % Otic Solution",22374,2,214041,100,1,6,"Antipyrine 54 MG/ML / Benzocaine 14 MG/ML Otic Solution [Aurodex]","Aurodex (antipyrine 5.4 % / benzocaine 1.4 % ) Otic Solution","SBD","ENG","N","C0717203",2
"Avalide 150-12.5 MG Oral Tablet",31005,3,823934,88,1,13,"Hydrochlorothiazide 12.5 MG / irbesartan 150 MG Oral Tablet [Avalide]","Avalide 150/12.5 Oral Tablet","SBD","ENG","N","C0875698",2
"Avalide 300-12.5 MG Oral Tablet",25053,3,823938,88,1,13,"Hydrochlorothiazide 12.5 MG / irbesartan 300 MG Oral Tablet [Avalide]","Avalide 300/12.5 Oral Tablet","SBD","ENG","N","C0875699",2
"Avalide 300-25 MG Oral Tablet",123440,4,823942,86,1,7,"Hydrochlorothiazide 25 MG / irbesartan 300 MG Oral Tablet [Avalide]","Avalide 300/25 Oral Tablet","SBD","ENG","N","C1644773",2
"Avandamet 2-500 MG Oral Tablet",103947,1,861808,100,1,9,"Metformin hydrochloride 500 MG / rosiglitazone 2 MG Oral Tablet [Avandamet]","Avandamet 2/500 MG Oral Tablet","SBD","ENG","N","C1169918",2
"Avandia 2 MG Oral Tablet",25111,1,261241,100,1,9,"rosiglitazone 2 MG Oral Tablet [Avandia]","Avandia 2 MG Oral Tablet","SBD","ENG","N","C0875725",2
"Avandia 4 MG Oral Tablet",31053,1,261242,100,1,11,"rosiglitazone 4 MG Oral Tablet [Avandia]","Avandia 4 MG Oral Tablet","SBD","ENG","N","C0875726",2
"Avandia 8 MG Oral Tablet",25112,1,261243,100,1,11,"rosiglitazone 8 MG Oral Tablet [Avandia]","Avandia 8 MG Oral Tablet","SBD","ENG","N","C0875727",2
"Avapro 150 MG Oral Tablet",30031,3,153666,100,1,13,"irbesartan 150 MG Oral Tablet [Avapro]","Avapro 150 MG Oral Tablet","SBD","ENG","N","C0595299",2
"Avapro 300 MG Oral Tablet",30032,3,153667,100,1,13,"irbesartan 300 MG Oral Tablet [Avapro]","Avapro 300 MG Oral Tablet","SBD","ENG","N","C0595300",2
"Avapro 75 MG Oral Tablet",24086,2,153665,100,1,8,"irbesartan 75 MG Oral Tablet [Avapro]","Avapro 75 MG Oral Tablet","SBD","ENG","N","C0595297",2
"Avelox 400 MG Oral Tablet",31582,20,261339,100,1,14,"moxifloxacin 400 MG Oral Tablet [Avelox]","Avelox 400 MG Oral Tablet","SBD","ENG","N","C0875831",2
"Aviane 0.1-20 MG-MCG Oral Tablet",98995,3,750268,50,1,16,"{21 (Ethinyl Estradiol 0.02 MG / Levonorgestrel 0.1 MG Oral Tablet) / 7 (Inert Ingredients 1 MG Oral Tablet) } Pack [Aviane 28]","Aviane 28 Day Pack","BPCK","ENG","N","C1691955",12
"Avodart 0.5 MG Oral Capsule",104099,2,352118,100,1,9,"Dutasteride 0.5 MG Oral Capsule [Avodart]","Avodart 0.5 MG Oral Capsule","SBD","ENG","N","C1169732",2
"Avonex 30 MCG Intramuscular Kit",28555,1,153324,57,1,5,"Interferon beta-1a 0.03 MG/ML Injectable Solution [Avonex]","Avonex 0.03 MG/ML Injectable Solution","SBD","ENG","N","C0594369",2
"Avonex Prefilled 30 MCG/0.5ML Intramuscular Kit",114087,1,727816,80,1,16,"0.5 ML Interferon beta-1a 0.06 MG/ML Prefilled Syringe [Avonex]","Avonex 30 MCG per 0.5 ML Prefilled Syringe","SBD","ENG","N","C1375039",2
"Axert 12.5 MG Oral Tablet",99334,2,284589,100,1,9,"almotriptan 12.5 MG Oral Tablet [Axert]","Axert 12.5 MG Oral Tablet","SBD","ENG","N","C0939183",2
"AzaSite 1 % Ophthalmic Solution",137020,1,706872,100,1,11,"Azithromycin 10 MG/ML Ophthalmic Solution [AzaSite]","AzaSite 1 % Ophthalmic Solution","SBD","ENG","N","C1948903",2
"AzaTHIOprine 50 MG Oral Tablet",26316,19,197388,100,1,22,"Azathioprine 50 MG Oral Tablet","","SCD","ENG","N","C0687962",1
"Azelastine HCl 0.05 % Ophthalmic Solution",154656,5,860805,100,1,16,"Azelastine hydrochloride 0.5 MG/ML Ophthalmic Solution","azelastine hydrochloride 0.05 % Ophthalmic Solution","SCD","ENG","N","C2719690",1
"Azelastine HCl 137 MCG/SPRAY Nasal Solution",158325,7,860796,86,1,5,"200 ACTUAT Azelastine hydrochloride 0.137 MG/ACTUAT Nasal Inhaler","azelastine hydrochloride 0.1 % 200 ACTUAT Nasal Spray","SCD","ENG","N","C0974667",1
"Azilect 0.5 MG Oral Tablet",134200,2,637218,100,1,7,"rasagiline 0.5 MG Oral Tablet [Azilect]","Azilect 0.5 MG Oral Tablet","SBD","ENG","N","C1712076",2
"Azilect 1 MG Oral Tablet",133970,2,637185,100,1,9,"rasagiline 1 MG Oral Tablet [Azilect]","Azilect 1 MG Oral Tablet","SBD","ENG","N","C1712041",2
"Azithromycin 1 GM Oral Packet",134231,8,861416,83,1,14,"Azithromycin 16.7 MG/ML Oral Suspension","azithromycin 1 GM per 60 ML Oral Suspension","SCD","ENG","N","C2719964",1
"Azithromycin 100 MG/5ML Oral Suspension Reconstituted",134009,6,308459,88,1,19,"Azithromycin 20 MG/ML Oral Suspension","azithromycin 100 MG per 5 ML Oral Suspension","SCD","ENG","N","C0974668",1
"Azithromycin 200 MG/5ML Oral Suspension Reconstituted",133974,22,141963,88,1,18,"Azithromycin 40 MG/ML Oral Suspension","azithromycin 200 MG per 5 ML Oral Suspension","SCD","ENG","N","C0542998",1
"Azithromycin 250 MG Oral Tablet",132850,53,308460,100,1,7,"Azithromycin 250 MG Oral Tablet","","SCD","ENG","N","C0974670",1
"Azithromycin 500 MG Oral Tablet",132851,26,248656,100,1,5,"Azithromycin 500 MG Oral Tablet","","SCD","ENG","N","C0790321",1
"Azithromycin 600 MG Oral Tablet",132858,2,204844,100,1,14,"Azithromycin 600 MG Oral Tablet","","SCD","ENG","N","C0704716",1
"Azor 10-20 MG Oral Tablet",138276,1,744624,86,1,8,"Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor]","Azor 10/20 Oral Tablet","SBD","ENG","N","C1966104",2
"Azor 10-40 MG Oral Tablet",138192,3,744628,86,1,9,"Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor]","Azor 10/40 Oral Tablet","SBD","ENG","N","C1965907",2
"Azor 5-20 MG Oral Tablet",138342,2,744632,100,1,9,"Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor]","Azor 5/20 MG Oral Tablet","SBD","ENG","N","C1965908",2
"Azor 5-40 MG Oral Tablet",138332,1,744636,86,1,8,"Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor]","Azor 5/40 Oral Tablet","SBD","ENG","N","C1965884",2
"Azulfidine EN-tabs 500 MG Oral Tablet Delayed Release",29086,3,724154,100,1,9,"Sulfasalazine 500 MG Delayed Release Oral Tablet [Azulfidine]","Azulfidine 500 MG Delayed Release Oral Tablet","SBD","ENG","N","C1949508",2
"Azurette 0.15-0.02/0.01 MG (21/5) Oral Tablet",150020,1,831872,42,3,11,"{21 (Desogestrel 0.15 MG / Ethinyl Estradiol 0.02 MG Oral Tablet) / 5 (Ethinyl Estradiol 0.01 MG Oral Tablet) / 2 (Inert Ingredients 1 MG Oral Tablet) } Pack [Azurette 28 Day]","Azurette 28 Day Pack","BPCK","ENG","N","C2608219",12
